Link Image,Name,Address,Author ID,Emails,Phone Number,Birthdate,Active
https://example.com/image_1.jpg,Author 1,Address 1,1,author1@example.com,123-456-0001,2000-01-01,True
https://example.com/image_2.jpg,Author 2,Address 2,2,author2@example.com,123-456-0002,2000-01-02,True
https://example.com/image_3.jpg,Author 3,Address 3,3,author3@example.com,123-456-0003,2000-01-03,True
https://example.com/image_4.jpg,Author 4,Address 4,4,author4@example.com,123-456-0004,2000-01-04,True
https://example.com/image_5.jpg,Author 5,Address 5,5,author5@example.com,123-456-0005,2000-01-05,True
https://example.com/image_6.jpg,Author 6,Address 6,6,author6@example.com,123-456-0006,2000-01-06,False
https://example.com/image_7.jpg,Author 7,Address 7,7,author7@example.com,123-456-0007,2000-01-07,True
https://example.com/image_8.jpg,Author 8,Address 8,8,author8@example.com,123-456-0008,2000-01-08,True
https://example.com/image_9.jpg,Author 9,Address 9,9,author9@example.com,123-456-0009,2000-01-09,False
https://example.com/image_10.jpg,Author 10,Address 10,10,author10@example.com,123-456-0010,2000-01-10,False
https://example.com/image_11.jpg,Author 11,Address 11,11,author11@example.com,123-456-0011,2000-01-11,False
https://example.com/image_12.jpg,Author 12,Address 12,12,author12@example.com,123-456-0012,2000-01-12,True
https://example.com/image_13.jpg,Author 13,Address 13,13,author13@example.com,123-456-0013,2000-01-13,False
https://example.com/image_14.jpg,Author 14,Address 14,14,author14@example.com,123-456-0014,2000-01-14,True
https://example.com/image_15.jpg,Author 15,Address 15,15,author15@example.com,123-456-0015,2000-01-15,True
https://example.com/image_16.jpg,Author 16,Address 16,16,author16@example.com,123-456-0016,2000-01-16,True
https://example.com/image_17.jpg,Author 17,Address 17,17,author17@example.com,123-456-0017,2000-01-17,True
https://example.com/image_18.jpg,Author 18,Address 18,18,author18@example.com,123-456-0018,2000-01-18,True
https://example.com/image_19.jpg,Author 19,Address 19,19,author19@example.com,123-456-0019,2000-01-19,False
https://example.com/image_20.jpg,Author 20,Address 20,20,author20@example.com,123-456-0020,2000-01-20,True
,True
